"","GAGE_ID","COMID"
"2","USGS-01409280","166248246"
"3","USGS-01410150","9454631"
"13","USGS-02327100","10365698"
"18","USGS-06036905","3061602"
"20","USGS-06037500","3059764"
"25","USGS-06188000","2965578"
"56","USGS-10146000","10330245"
"58","USGS-10150500","10349360"
"68","USGS-10311200","8919959"
"73","USGS-11062001","22554826"
"82","USGS-11098000","22514774"
"84","USGS-11109525","24858039"
"88","USGS-11111500","17567911"
"96","USGS-11118500","948070372"
"98","USGS-11119750","17595453"
"100","USGS-11119940","17596111"
"101","USGS-11120000","17595429"
"113","USGS-11143200","17600477"
"118","USGS-11152000","8205291"
"133","USGS-11200800","14934716"
"134","USGS-11202000","14930339"
"135","USGS-11202710","14930363"
"140","USGS-11208000","14917987"
"143","USGS-11238500","17116205"
"144","USGS-11238600","17116559"
"145","USGS-11242000","17115703"
"165","USGS-11395200","8037383"
"166","USGS-11396200","8037545"
"168","USGS-11404300","2775564"
"169","USGS-11427700","14992381"
"170","USGS-11427750","14992381"
"176","USGS-11454000","15033009"
"178","USGS-11461000","8269099"
"179","USGS-11463170","8271917"
"181","USGS-11470500","8309952"
"182","USGS-11471500","8307546"
"189","USGS-11480410","8319981"
"207","USGS-13010065","23123539"
"208","USGS-13011000","23123437"
"210","USGS-13148500","23266994"
"224","USGS-14092750","23719653"
"228","USGS-14179000","23780701"
"229","USGS-14181500","23780511"
"230","USGS-14181900","23780851"
"232","USGS-14183000","23780481"
"237","USGS-14338000","23923878"
